        hour            z         tsoi
      10.500      -73.750       14.962
      10.500      -76.250       14.961
      10.500      -78.750       14.959
      10.500      -81.250       14.956
      10.500      -83.750       14.952
      10.500      -86.250       14.948
      10.500      -88.750       14.943
      10.500      -91.250       14.939
      10.500      -93.750       14.934
      10.500      -96.250       14.930
      10.500      -98.750       14.926
      11.000        0.000       18.536
      11.000       -1.250       17.995
      11.000       -3.750       17.087
      11.000       -6.250       16.340
      11.000       -8.750       15.742
      11.000      -11.250       15.275
      11.000      -13.750       14.923
      11.000      -16.250       14.668
      11.000      -18.750       14.495
      11.000      -21.250       14.387
      11.000      -23.750       14.331
      11.000      -26.250       14.316
      11.000      -28.750       14.331
      11.000      -31.250       14.367
      11.000      -33.750       14.416
      11.000      -36.250       14.474
      11.000      -38.750       14.535
      11.000      -41.250       14.596
      11.000      -43.750       14.655
      11.000      -46.250       14.710
      11.000      -48.750       14.759
      11.000      -51.250       14.802
      11.000      -53.750       14.839
      11.000      -56.250       14.870
      11.000      -58.750       14.895
      11.000      -61.250       14.915
      11.000      -63.750       14.931
      11.000      -66.250       14.942
      11.000      -68.750       14.950
      11.000      -71.250       14.954
      11.000      -73.750       14.957
      11.000      -76.250       14.957
      11.000      -78.750       14.956
      11.000      -81.250       14.953
      11.000      -83.750       14.950
      11.000      -86.250       14.947
      11.000      -88.750       14.943
      11.000      -91.250       14.939
      11.000      -93.750       14.935
      11.000      -96.250       14.931
      11.000      -98.750       14.927
      11.500        0.000       18.967
      11.500       -1.250       18.428
      11.500       -3.750       17.505
      11.500       -6.250       16.732
      11.500       -8.750       16.098
      11.500      -11.250       15.591
      11.500      -13.750       15.197
      11.500      -16.250       14.901
      11.500      -18.750       14.688
      11.500      -21.250       14.544
      11.500      -23.750       14.455
      11.500      -26.250       14.411
      11.500      -28.750       14.401
      11.500      -31.250       14.416
      11.500      -33.750       14.448
      11.500      -36.250       14.492
      11.500      -38.750       14.543
      11.500      -41.250       14.596
      11.500      -43.750       14.649
      11.500      -46.250       14.699
      11.500      -48.750       14.746
      11.500      -51.250       14.787
      11.500      -53.750       14.824
      11.500      -56.250       14.855
      11.500      -58.750       14.882
      11.500      -61.250       14.903
      11.500      -63.750       14.919
      11.500      -66.250       14.932
      11.500      -68.750       14.941
      11.500      -71.250       14.947
      11.500      -73.750       14.951
      11.500      -76.250       14.952
      11.500      -78.750       14.952
      11.500      -81.250       14.951
      11.500      -83.750       14.949
      11.500      -86.250       14.946
      11.500      -88.750       14.942
      11.500      -91.250       14.938
      11.500      -93.750       14.935
      11.500      -96.250       14.931
      11.500      -98.750       14.927
      12.000        0.000       19.330
      12.000       -1.250       18.803
      12.000       -3.750       17.881
      12.000       -6.250       17.093
      12.000       -8.750       16.435
      12.000      -11.250       15.897
      12.000      -13.750       15.468
      12.000      -16.250       15.135
      12.000      -18.750       14.886
      12.000      -21.250       14.708
      12.000      -23.750       14.588
      12.000      -26.250       14.516
      12.000      -28.750       14.481
      12.000      -31.250       14.475
      12.000      -33.750       14.489
      12.000      -36.250       14.519
      12.000      -38.750       14.557
      12.000      -41.250       14.601
      12.000      -43.750       14.647
      12.000      -46.250       14.693
      12.000      -48.750       14.736
      12.000      -51.250       14.776
      12.000      -53.750       14.811
      12.000      -56.250       14.842
      12.000      -58.750       14.869
      12.000      -61.250       14.891
      12.000      -63.750       14.909
      12.000      -66.250       14.922
      12.000      -68.750       14.933
      12.000      -71.250       14.940
      12.000      -73.750       14.945
      12.000      -76.250       14.947
      12.000      -78.750       14.948
      12.000      -81.250       14.948
      12.000      -83.750       14.946
      12.000      -86.250       14.944
      12.000      -88.750       14.941
      12.000      -91.250       14.938
      12.000      -93.750       14.934
      12.000      -96.250       14.931
      12.000      -98.750       14.927
      12.500        0.000       19.619
      12.500       -1.250       19.112
      12.500       -3.750       18.207
      12.500       -6.250       17.419
      12.500       -8.750       16.747
      12.500      -11.250       16.187
      12.500      -13.750       15.730
      12.500      -16.250       15.367
      12.500      -18.750       15.086
      12.500      -21.250       14.877
      12.500      -23.750       14.728
      12.500      -26.250       14.628
      12.500      -28.750       14.569
