           year          carbon        nitrogen
        2.07951        36.49285         2.04103
        2.08225        36.46433         2.04105
        2.08499        36.43586         2.04108
        2.08773        36.40745         2.04111
        2.09047        36.37908         2.04113
        2.09321        36.35076         2.04115
        2.09595        36.32249         2.04117
        2.09869        36.29428         2.04119
        2.10143        36.26611         2.04121
        2.10417        36.23799         2.04123
        2.10691        36.20992         2.04124
        2.10965        36.18191         2.04126
        2.11239        36.15394         2.04127
        2.11513        36.12602         2.04128
        2.11787        36.09815         2.04129
        2.12061        36.07033         2.04130
        2.12334        36.04256         2.04130
        2.12608        36.01483         2.04131
        2.12882        35.98716         2.04131
        2.13156        35.95953         2.04131
        2.13430        35.93195         2.04131
        2.13704        35.90443         2.04131
        2.13978        35.87695         2.04131
        2.14252        35.84951         2.04131
        2.14526        35.82213         2.04130
        2.14800        35.79479         2.04130
        2.15074        35.76750         2.04129
        2.15348        35.74026         2.04128
        2.15622        35.71307         2.04127
        2.15896        35.68592         2.04126
        2.16170        35.65882         2.04124
        2.16444        35.63177         2.04123
        2.16718        35.60477         2.04121
        2.16992        35.57781         2.04120
        2.17266        35.55090         2.04118
        2.17540        35.52403         2.04116
        2.17814        35.49722         2.04114
        2.18088        35.47045         2.04111
        2.18362        35.44372         2.04109
        2.18636        35.41704         2.04106
        2.18910        35.39041         2.04104
        2.19184        35.36383         2.04101
        2.19458        35.33729         2.04098
        2.19732        35.31079         2.04095
        2.20006        35.28434         2.04091
        2.20280        35.25794         2.04088
        2.20554        35.23158         2.04085
        2.20828        35.20527         2.04081
        2.21102        35.17900         2.04077
        2.21376        35.15278         2.04073
        2.21650        35.12660         2.04069
        2.21924        35.10047         2.04065
        2.22197        35.07439         2.04061
        2.22471        35.04834         2.04056
        2.22745        35.02235         2.04052
        2.23019        34.99639         2.04047
        2.23293        34.97048         2.04042
        2.23567        34.94462         2.04037
        2.23841        34.91880         2.04032
        2.24115        34.89302         2.04027
        2.24389        34.86729         2.04022
        2.24663        34.84160         2.04016
        2.24937        34.81596         2.04010
        2.25211        34.79036         2.04005
        2.25485        34.76480         2.03999
        2.25759        34.73929         2.03993
        2.26033        34.71381         2.03987
        2.26307        34.68839         2.03980
        2.26581        34.66300         2.03974
        2.26855        34.63766         2.03968
        2.27129        34.61236         2.03961
        2.27403        34.58711         2.03954
        2.27677        34.56189         2.03947
        2.27951        34.53672         2.03940
        2.28225        34.51159         2.03933
        2.28499        34.48651         2.03926
        2.28773        34.46146         2.03918
        2.29047        34.43646         2.03911
        2.29321        34.41150         2.03903
        2.29595        34.38659         2.03895
        2.29869        34.36171         2.03888
        2.30143        34.33688         2.03880
        2.30417        34.31208         2.03871
        2.30691        34.28733         2.03863
        2.30965        34.26262         2.03855
        2.31239        34.23796         2.03846
        2.31513        34.21333         2.03838
        2.31787        34.18874         2.03829
        2.32061        34.16420         2.03820
        2.32334        34.13970         2.03811
        2.32608        34.11523         2.03802
        2.32882        34.09081         2.03792
        2.33156        34.06643         2.03783
        2.33430        34.04209         2.03774
        2.33704        34.01779         2.03764
        2.33978        33.99353         2.03754
        2.34252        33.96931         2.03744
        2.34526        33.94513         2.03734
        2.34800        33.92099         2.03724
        2.35074        33.89689         2.03714
        2.35348        33.87283         2.03704
        2.35622        33.84881         2.03693
        2.35896        33.82483         2.03683
        2.36170        33.80089         2.03672
        2.36444        33.77699         2.03661
        2.36718        33.75312         2.03650
        2.36992        33.72930         2.03639
        2.37266        33.70552         2.03628
        2.37540        33.68177         2.03617
        2.37814        33.65807         2.03605
        2.38088        33.63440         2.03594
